Vehicle_ID,Pre_Accident_Value,Cost_of_repair,odometer,engine_displacement,Damage_Type,make_nm,model_nm,fuel_type,Age,Sale_Price
2560,11781,8576.9,6576,998,Front End,Citroen,C1,Petrol,0,5100
1150,4165,4450.9,182641,1598,Front End,Opel,Astra,Petrol,12,1850
1125,6307,3951.8,58648,998,Front End,Opel,Corsa,Petrol,6,1700
2006,5600.021,6678.6,106851,1198,Front End,Volkswagen,Polo V,Petrol,8,2800
298,3904.257778,9500,115803,1896,Side,Volkswagen,Touran,Diesel,13,2600
2554,5003.624167,9820.4,105320,1799,Front End,Honda,Civic,Petrol,8,4250
2744,3272.5,7428,123354,1388,Side,Ford,Fiesta,Petrol,11,825
2675,9663.9,3163.8,2672,1242,Front End,FIAT,500,Petrol,0,4850
2618,7021,6934.8,146739,1390,Front End,Volkswagen,Polo V,Petrol,8,2950
2433,17058.8,31916.5,4747,998,All Over,Ford,Fiesta,Petrol,0,2750
731,10948,9932.6,239254,2993,Front End,BMW,535d,Diesel,12,3300
1226,15232,11375.3,88497,1390,Front End,Volkswagen,Eos,Petrol,8,2750
1716,13804,12179.1,68765,1390,Side,Volkswagen,Golf,Petrol,6,5200
504,16386.5,11213,9082,1422,Front End,Audi,A1 Sportback,Diesel,0,7500
1677,6500.018,11324.5,99451,1699,Front End,Mercedes-Benz,A,Petrol,10,950
1720,4299.946,8850,121527,1396,Front End,Honda,Civic,Petrol,12,1550
2839,8211,7563,56113,1242,Hail,Ford,Fiesta,Petrol,8,2100
2679,11602.5,13031.4,90428,1364,Front End,Opel,Astra,Petrol,5,4900
1164,5474,2914,135827,1595,Front End,Audi,A4,Petrol,14,2200
1332,4046.4641,11854.8,37256,1364,Side,Opel,Tigra,Petrol,9,2000
1278,8330,8146.4,83613,1396,Side,Kia,Cee'd,Petrol,7,3150
607,5099.983,5097.6,218773,1968,Front End,Audi,A3,Diesel,11,3050
695,5900.02,8869.6,214178,1995,Rear End,Renault,Koleos,Diesel,10,2850
1460,4522,4656.1,109701,1248,Side,Hyundai,i10,Petrol,8,1400
1637,18445,17705.7,5385,1197,Side,Volkswagen,Polo,Petrol,2,5900
1162,5682.25,12283.8,60603,2497,Front End,BMW,3,Petrol,11,3850
2988,7950.033,14924.2,94031,1591,Front End,Hyundai,i30,Petrol,8,2250
1335,9996,14400,78774,1596,Front End,Ford,Focus,Petrol,9,1550
1247,5831,6849.8,56287,1242,Front End,FIAT,Punto,Petrol,6,2000
2032,5000.023,7186.4,82698,1229,Front End,Opel,Corsa D,Petrol,10,1650
2815,4760,2653.2,120020,1364,Side,Opel,Corsa,Petrol,11,1450
497,7900.053,7132.3,206758,1968,Front End,Volkswagen,Passat,Diesel,10,2600
2786,3510.5,3007.6,99304,1598,Front End,Opel,Meriva,Petrol,13,1300
396,17550.001,18267.5,78776,1968,Front End,Audi,A3,Diesel,6,4250
1084,4760,5825.4,40259,998,Front End,Citroen,C1,Petrol,7,1500
1623,13000.036,15999,61432,1197,Front End,Audi,A3,Petrol,6,4000
2169,6399.939,6090.8,82952,1248,Front End,Hyundai,i20,Petrol,4,2950
1575,12376,6724.3,92977,1390,Front End,Audi,A3,Petrol,8,3950
1071,5950,5066.4,101054,1586,Front End,Suzuki,Sx4,Petrol,8,3500
1614,5831,4553.6,88298,1364,Front End,Opel,Corsa,Petrol,8,2050
3087,20706,15891.6,3161,1197,Front End,Toyota,Auris Touring Sports,Petrol,1,7900
1472,24201.7,11447.2,12686,1968,Side,Volkswagen,Golf,Petrol,0,11200
1815,4811.184875,5121,109091,998,Side,Toyota,Yaris,Petrol,9,3400
2045,4799.984,8235.3,100220,1390,Side,Skoda,Fabia,Petrol,10,1850
1487,6188,6208.2,134448,1984,Front End,Audi,A4,Petrol,13,2500
