Vehicle_ID,Pre_Accident_Value,Cost_of_repair,odometer,engine_displacement,Damage_Type,make_nm,model_nm,fuel_type,Age
2949,3332,2554.8,50397,998,Front End,Peugeot,107,Petrol,12
885,10250.065,17000,177016,2987,Front End,Jeep,Grand Cherokee,Diesel,11
135,3927,5420.2,249189,1686,Rear End,Opel,Astra,Diesel,9
1351,20468,22881.8,66194,1591,Side,Kia,Cee'd,Petrol,3
2823,3451,3986.3,96269,1299,Front End,Ford,Fiesta,Petrol,11
1850,6899.977,7178,100856,1390,Front End,Volkswagen,Golf VI,Petrol,9
2940,5355,5891.6,110091,1198,Front End,Volkswagen,Polo,Petrol,9
2364,5099.983,8150,118586,1595,Side,Volkswagen,New Beetle,Petrol,11
3079,6500.018,7750.9,55508,1149,Top/Roof,Renault,Wind,Petrol,7
1223,16898,14748.8,51748,1598,Front End,Opel,Astra,Petrol,5
1082,2710.6058,6696.1,156850,1596,Front End,Ford,Fiesta,Petrol,11
976,4199.986,2347,148735,999,Rear End,Skoda,Fabia,Petrol,7
2680,8211,11000,60852,1242,Hail,Suzuki,Swift,Petrol,7
831,5999.98,5327,169352,1968,Front End,Audi,A4,Diesel,13
2313,4499.985,8403.4,85738,1368,Front End,FIAT,Grande Punto,Petrol,9
2206,13499.955,6538.1,117266,1984,Front End,Volkswagen,Beetle,Petrol,7
1524,9306.7,7827,18299,999,Rear End,Volkswagen,Up,Petrol,0
2122,3570,3700,126491,1598,Front End,Opel,Astra H Caravan,Petrol,14
2959,5900.02,8223,82947,1329,Side,Toyota,Yaris,Petrol,9
2977,9800.007,8524.7,67822,1328,Side,Suzuki,Jimny,Petrol,9
2927,7616,6473.5,51079,999,Side,Mitsubishi,Space Star,Petrol,5
3074,12019,8932.2,101964,1596,Rear End,Ford,Focus,Petrol,5
2171,16300.025,14539,44184,1395,Front End,Volkswagen,Golf,Petrol,3
11,13090,9968,156940,999,Front End,Audi,A3,Diesel,4
699,26061,24635.5,95434,1968,Water/Flood,Audi,A5  Sportback,Diesel,5
2413,6545,6064.9,65896,1198,Front End,Honda,Jazz,Petrol,6
230,12971,10405.8,101696,1997,Front End,Citroen,C4,Diesel,6
387,15351,13595.7,100768,1995,Rear End,BMW,X3,Diesel,9
324,5800,3626.3,185503,1560,Side,Citroen,Berlingo,Diesel,4
2995,7973,8559,73508,1386,Rear End,Nissan,Note,Petrol,6
907,34000,29755.8,33045,1968,Side,Volkswagen,Sharan,Diesel,2
2634,3699.948,3513.8,67298,1299,Front End,Ford,Fiesta,Petrol,12
941,7021,9712,104458,999,Water/Flood,Ford,Fiesta,Petrol,7
572,16120.44444,7258.4,22663,1968,Front End,Audi,A3,Diesel,0
2196,3099.95,3359.9,63853,1086,Side,Hyundai,i10,Petrol,9
233,5950,3109.6,100214,1910,Front End,Suzuki,Sx4,Diesel,10
2865,5600.021,4788.1,145189,1781,Front End,Volkswagen,New Beetle,Petrol,10
2918,3500.028,4371.6,129620,1198,Front End,Volkswagen,Polo IV,Petrol,11
2410,8600.011,13445.4,22255,1598,Front End,Chevrolet,Cruze,Petrol,5
2238,14705.9,5825.8,7205,999,Side,Volkswagen,Polo VI,Petrol,0
1640,2999.99,3787.2,157125,1598,Front End,Opel,Meriva,Petrol,13
1989,6200.019,8192.6,84557,1390,Front End,Skoda,Fabia,Petrol,8
369,13865.5,4575.1,5699,1461,Side,Nissan,Micra,Diesel,1
759,19747.9,10646.5,18953,1968,Rear End,Volkswagen,Golf,Diesel,1
636,4411.8,4628.8,152047,1598,Front End,Skoda,Fabia,Diesel,8
1442,8211,9562,14298,1998,Front End,Renault,Megane Scenic,Petrol,9
2457,15100.029,14482.6,101134,1798,Front End,Audi,TT,Petrol,6
2349,9899.967,8549.7,35666,1248,Front End,Hyundai,i20,Petrol,3
570,13999.993,10138.7,103044,1968,Front End,Volkswagen,Golf VI,Diesel,6
2800,4899.944,5956.6,74055,1596,Front End,Ford,Focus,Petrol,13
1352,5355,5553,85272,1349,Side,Mazda,3,Petrol,11
428,4499.985,3437,312384,1968,Side,Volkswagen,Passat Variant,Diesel,12
1840,6549.998,8870.2,38016,1198,Front End,Skoda,Fabia,Petrol,7
691,9341.5,8122.9,140100,1582,Side,Hyundai,i30,Diesel,5
1841,17649.961,12271.5,40760,1197,Front End,Volkswagen,Golf VII Sportsvan,Petrol,3
224,9639,7090.6,183768,1995,Front End,BMW,1,Diesel,9
1263,4400.025,4675,150717,999,Front End,Mercedes-Benz,A,Petrol,12
2426,7499.975,12543.7,157378,2976,Front End,Audi,A4,Petrol,15
112,10115,8421.4,92272,2148,Front End,Mercedes-Benz,C,Diesel,13
647,4100.026,4985.5,119662,1991,Front End,Mercedes-Benz,A-Klasse,Diesel,13
2852,14161,10207.8,41171,1197,Side,Volkswagen,Polo V,Petrol,3
2759,8449,11765,129037,1995,Front End,BMW,1er,Petrol,8
1937,7310.9,7909,13052,1699,Front End,Mercedes-Benz,A 180,Petrol,9
2570,4165,15000,76032,1598,Water/Flood,Renault,Clio,Petrol,11
1894,8999.97,8701.8,88378,1798,Rear End,Toyota,Auris,Petrol,7
1707,5200.062,6468.6,111701,1598,Front End,Renault,Megane II Grandtour,Petrol,8
1963,5999.98,8100,261408,1497,Front End,Toyota,Prius,Petrol,9
1763,7378,10108,34987,998,Side,Toyota,Aygo,Petrol,4
2027,3510.5,4630.4,138580,1240,Rear End,Nissan,Micra,Petrol,10
2334,5999.98,2972.8,95164,999,Undercarriage,Seat,Mii,Petrol,5
2783,4641,5892.4,63599,1360,Side,Peugeot,206,Petrol,9
2047,8749.951,7749.3,42529,1598,Side,Peugeot,308,Petrol,7
1214,10412.5,12892.2,32997,1198,Side,Honda,Jazz,Petrol,5
534,4700.024,17000,241569,1995,Front End,BMW,1,Diesel,12
1616,5999.98,5413.5,110588,1595,Side,Audi,A3,Petrol,11
2654,5355,2333.7,112941,1596,Front End,Ford,Fusion,Petrol,10
35,10400.005,9446,146278,1968,Side,Volkswagen,Passat,Diesel,6
2819,4284,5395.3,47138,1242,Front End,FIAT,Grande Punto,Petrol,9
2304,16554.6,13009.4,16207,1498,Front End,Volkswagen,GOLF VII,Petrol,1
225,6302.5,8780.7,191409,1560,Rear End,Ford,Focus,Diesel,5
658,2058.8,3682.6,150218,1422,Front End,Skoda,Fabia,Diesel,11
